============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.14-s037_1
  Generated on:           Jun 02 2026  02:06:35 am
  Module:                 top_ti
  Technology libraries:   saed14rvt_tt0p8v25c 
                          saed14rvt_ss0p72v25c 
                          saed14rvt_ff0p88v25c 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                               Module                         Cells  Cell Area  Net Area   Total Area  Wireload     
-------------------------------------------------------------------------------------------------------------------------------------
top_ti                                                                       5591114    2862977         0      2862977    <none> (D) 
  u_pe_array              pe_array_N_TILES1024_KERNEL_H3_KERNEL_W3_IN_CH1    5453789    2773992         0      2773992    <none> (D) 
    gen_tile[787].u_tile  compute_core_ti_787                                   5335       2712         0         2712    <none> (D) 
    gen_tile[829].u_tile  compute_core_ti_829                                   5328       2710         0         2710    <none> (D) 
    gen_tile[584].u_tile  compute_core_ti_584                                   5331       2710         0         2710    <none> (D) 
    gen_tile[480].u_tile  compute_core_ti_480                                   5340       2710         0         2710    <none> (D) 
    gen_tile[58].u_tile   compute_core_ti_58                                    5338       2710         0         2710    <none> (D) 
    gen_tile[76].u_tile   compute_core_ti_76                                    5332       2709         0         2709    <none> (D) 
    gen_tile[74].u_tile   compute_core_ti_74                                    5317       2709         0         2709    <none> (D) 
    gen_tile[258].u_tile  compute_core_ti_258                                   5327       2709         0         2709    <none> (D) 
    gen_tile[195].u_tile  compute_core_ti_195                                   5322       2709         0         2709    <none> (D) 
    gen_tile[918].u_tile  compute_core_ti_918                                   5333       2709         0         2709    <none> (D) 
    gen_tile[652].u_tile  compute_core_ti_652                                   5333       2709         0         2709    <none> (D) 
    gen_tile[516].u_tile  compute_core_ti_516                                   5325       2709         0         2709    <none> (D) 
    gen_tile[744].u_tile  compute_core_ti_744                                   5322       2709         0         2709    <none> (D) 
    gen_tile[737].u_tile  compute_core_ti_737                                   5336       2709         0         2709    <none> (D) 
    gen_tile[192].u_tile  compute_core_ti_192                                   5331       2709         0         2709    <none> (D) 
    gen_tile[93].u_tile   compute_core_ti_93                                    5332       2709         0         2709    <none> (D) 
    gen_tile[656].u_tile  compute_core_ti_656                                   5320       2709         0         2709    <none> (D) 
    gen_tile[428].u_tile  compute_core_ti_428                                   5332       2709         0         2709    <none> (D) 
